state,test_year,district_id,district_name,leaid,classes,flagged_t95,pflagged_t95,predicted,binprob
WI,2007,1015,CEDARBURG,5502460,8,0,0,0,1
WI,2007,1029,CEDAR GROVE,5502430,6,1,0.1667,0,0.27138397
WI,2007,1078,CHETEK,5502490,8,0,0,0,1
WI,2007,1085,CHILTON,5502520,6,0,0,0,1
WI,2007,1092,CHIPPEWA FALLS,5502550,12,0,0,1,1
WI,2007,112,ALTOONA,5500270,8,0,0,0,1
WI,2007,1134,CLINTON,5502640,8,0,0,0,1
WI,2007,1141,CLINTONVILLE,5502670,6,0,0,0,1
WI,2007,1162,COLBY,5502730,4,0,0,0,1
WI,2007,1176,COLFAX,5502790,10,0,0,1,1
WI,2007,1183,COLUMBUS,5502820,8,0,0,0,1
WI,2007,119,AMERY,5500300,8,0,0,0,1
WI,2007,1218,CRANDON,5502910,4,0,0,0,1
WI,2007,1253,CUDAHY,5503060,20,0,0,1,1
WI,2007,1260,CUMBERLAND,5503090,8,0,0,0,1
WI,2007,1309,DEERFIELD,5503270,6,0,0,0,1
WI,2007,1316,DE FOREST,5503180,10,0,0,1,1
WI,2007,1376,KETTLE MORAINE,5503510,16,0,0,1,1
WI,2007,1380,DELAVANDARIEN,5503640,16,2,0.125,1,0.197462442
WI,2007,14,ADAMS FRIENDS,5500060,10,0,0,1,1
WI,2007,140,ANTIGO,5500360,4,0,0,0,1
WI,2007,1407,DENMARK,5503660,8,0,0,0,1
WI,2007,1414,DE PERE,5503210,8,0,0,0,1
WI,2007,1428,DODGEVILLE,5503690,6,0,0,0,1
WI,2007,147,APPLETON,5500390,84,3,0.0357,4,0.812384367
WI,2007,1526,NORTHLAND PINES,5503860,12,0,0,1,1
WI,2007,154,ARCADIA,5500420,10,0,0,1,1
WI,2007,1540,EAST TROY,5504020,8,0,0,0,1
WI,2007,1554,EAU CLAIRE,5504050,50,3,0.06,3,0.477809398
WI,2007,1568,EDGERTON,5504110,8,0,0,0,1
WI,2007,1600,ELEVA STRUM,5504200,2,0,0,0,1
WI,2007,1631,ELKHART LAKE,5504260,10,0,0,1,1
WI,2007,1638,ELKHORN,5504290,8,0,0,0,1
WI,2007,1645,ELK MOUND,5504230,6,0,0,0,1
WI,2007,1659,ELLSWORTH,5504320,4,0,0,0,1
WI,2007,1673,ROYALL,5504380,2,0,0,0,1
WI,2007,1687,ERIN,5504410,10,0,0,1,1
WI,2007,1694,EVANSVILLE,5504440,8,0,0,0,1
WI,2007,170,ASHLAND,5500510,12,0,0,1,1
WI,2007,182,ASHWAUBENON,5500540,8,0,0,0,1
WI,2007,1855,FLORENCE,5504650,4,0,0,0,1
WI,2007,1862,FOND DU LAC,5504680,36,2,0.0556,2,0.558518907
WI,2007,1883,FORT ATKINSON,5504740,12,0,0,1,1
WI,2007,1890,FOX POINT,5504800,6,0,0,0,1
WI,2007,1897,MAPLE DALE IN,5504770,6,0,0,0,1
WI,2007,1900,FRANKLIN,5504830,20,0,0,1,1
WI,2007,1939,FREDERIC,5504860,6,0,0,0,1
