district_name,district_id,school_name,school_id,subject,grade,n1,ss1,n2,ss2,predicted,residuals,resid_z,resid_t,cooks,test_year,tprob,flagged_t95
ADAMS FRIENDS,14,ADAMS FRIEND EL,130,math,4,44,433.1,40,463,468.7445937,-5.744593717,-0.591896452,-0.591709875,0.000171271,2007,0.278729778,0
ALGOMA,70,ALGOMA EL,20,math,4,18,443,20,477.2,476.4764947,0.723505305,0.074557315,0.074521349,3.51E-06,2007,0.470687283,0
ALTOONA,112,PEDERSEN EL,80,math,4,86,445.4,94,472.6,478.3508949,-5.750894932,-0.592669054,-0.592482497,0.000244921,2007,0.277482698,0
AMERY,119,AMERY INT,50,math,4,95,427.1,94,460.7,464.0585931,-3.358593125,-0.346057978,-0.345910201,5.99E-05,2007,0.365095746,0
APPLETON,147,BADGER EL,60,math,4,27,424.2,27,458.7,461.7936928,-3.093692838,-0.318773828,-0.318634899,5.41E-05,2007,0.376274497,0
APPLETON,147,WIS CONNECTIONS,125,math,4,17,423.5,26,463.1,461.2469928,1.853007231,0.190935677,0.190846431,1.98E-05,2007,0.42509365,0
APPLETON,147,EDNA FERBER EL,130,math,4,73,440.1,76,476.7,474.2115944,2.488405591,0.256414406,0.256298196,3.74E-05,2007,0.399211151,0
APPLETON,147,HIGHLANDS EL,180,math,4,66,412.8,60,451.3,452.8902917,-1.590291712,-0.163911823,-0.163834447,2.22E-05,2007,0.435210713,0
APPLETON,147,HORIZONS EL,190,math,4,46,430,50,471.4,466.3234934,5.076506589,0.523058133,0.522873786,0.000132859,2007,0.301709253,0
APPLETON,147,HOUDINI EL,195,math,4,75,426.8,73,469.8,463.8242931,5.975706905,0.615718011,0.615532515,0.00019071,2007,0.270071986,0
APPLETON,147,HUNTLEY EL,200,math,4,69,415.5,68,466.3,454.998992,11.30100802,1.164688593,1.164890204,0.000995335,2007,0.124097132,0
APPLETON,147,JEFFERSON EL,240,math,4,33,435.8,29,480.8,470.853294,9.946706016,1.024882173,1.024907241,0.000533449,2007,0.157090253,0
APPLETON,147,JOHNSTON EL,260,math,4,59,417.6,63,454.6,456.6390922,-2.039092186,-0.210136865,-0.210039429,2.96E-05,2007,0.417162805,0
APPLETON,147,LINCOLN EL,280,math,4,38,426,32,454.9,463.199493,-8.299493016,-0.855160153,-0.85504863,0.000373481,2007,0.199542254,0
APPLETON,147,MCKINLEY EL,320,math,4,57,420.4,57,460.6,458.8258925,1.774107537,0.182816396,0.182730676,2.01E-05,2007,0.427834641,0
ARCADIA,154,ARCADIA EL,20,math,4,51,428.5,49,455.7,465.1519933,-9.451993263,-0.973892032,-0.97386767,0.000465844,2007,0.167502356,0
ASHLAND,170,LKE SUPERIORINT,60,math,4,128,442.4,127,476.9,476.0078946,0.892105364,0.091930247,0.09188603,5.22E-06,2007,0.46346726,0
ASHLAND,170,MARENGO VLY EL,120,math,4,29,451,30,492.8,482.7244955,10.07550451,1.038555441,1.038595069,0.000966165,2007,0.153787801,0
ASHWAUBENON,182,VALLEYVIEW EL,60,math,4,108,438.5,105,471.4,472.9619943,-1.561994251,-0.160949212,-0.160873159,1.40E-05,2007,0.436252693,0
BALDWIN WOOD,231,GREENFIELD EL,70,math,4,97,428.3,101,469.7,464.9957932,4.704206757,0.48470141,0.484521497,0.000115646,2007,0.314537691,0
BARABOO,280,EAST EL,60,math,4,59,442.4,55,465.6,476.0078946,-10.40789464,-1.072519415,-1.072597674,0.000710458,2007,0.144110897,0
BARABOO,280,WILLSON EL,110,math,4,46,434.7,46,464.1,469.9941939,-5.894193875,-0.607316289,-0.607130297,0.000183793,2007,0.273407928,0
BARABOO,280,SOUTH EL,180,math,4,51,434.7,48,451.4,469.9941939,-18.59419388,-1.915878075,-1.918366664,0.001829084,2007,0.030575237,0
BARRON,308,WOODLAND EL,160,math,4,60,417.2,61,450,456.3266922,-6.326692147,-0.65199907,-0.651817189,0.000289998,2007,0.258504134,0
BEAVER DAM,336,JEFFERSON EL,80,math,4,47,423.7,38,460.2,461.4031928,-1.203192789,-0.123977781,-0.123918565,8.30E-06,2007,0.451025255,0
BEAVER DAM,336,LINCOLN EL,100,math,4,34,435.9,35,466.1,470.931394,-4.831393994,-0.4978145,-0.49763283,0.000126104,2007,0.310973094,0
BEAVER DAM,336,SOUTH BEAVER EL,120,math,4,18,452.4,20,480.8,483.8178956,-3.017895624,-0.311094985,-0.310958673,9.25E-05,2007,0.379608897,0
BEAVER DAM,336,WASHINGTON EL,160,math,4,50,456.1,50,466.6,486.707596,-20.10759599,-2.073126953,-2.076453814,0.004869872,2007,0.021559248,1
BELOIT,413,CONVERSE EL,60,math,4,60,414.1,57,439.7,453.9055918,-14.20559184,-1.464105373,-1.464918845,0.001673537,2007,0.07426754,0
BELOIT,413,CUNNINGHAM EL,80,math,4,28,396.6,23,434.4,440.2380901,-5.838090112,-0.602263908,-0.602077679,0.00062064,2007,0.276638816,0
BELOIT,413,HACKETT EL,120,math,4,36,407.3,32,457.1,448.5947912,8.505208831,0.876843125,0.876744754,0.000820036,2007,0.193684584,0
BELOIT,413,MERRILL EL,210,math,4,28,378.7,24,413.7,426.2581883,-12.55818834,-1.297600742,-1.298031664,0.005601011,2007,0.10357156,0
BELOIT,413,MORGAN EL,240,math,4,31,415.6,34,478.8,455.077092,23.72290801,2.444889168,2.450818138,0.00436687,2007,0.009860137,1
BELOIT,413,ROYCE EL,300,math,4,37,407.4,40,438.1,448.6728912,-10.57289118,-1.090005172,-1.090104721,0.001261383,2007,0.141178394,0
BELOIT,413,TODD EL,320,math,4,32,416.2,29,444.1,455.5456921,-11.44569205,-1.17957395,-1.17979813,0.000990386,2007,0.124003791,0
BELOIT,413,WRIGHT EL,360,math,4,31,417.4,28,451.2,456.4828922,-5.282892167,-0.54442688,-0.544241024,0.000200518,2007,0.295371162,0
BELOIT TURNER,422,TOWNVIEW EL,100,math,4,77,430.6,88,461.3,466.7920935,-5.49209347,-0.565877631,-0.565690989,0.000155208,2007,0.286529992,0
BERLIN,434,CLAY EL,60,math,4,79,443,88,471.3,476.4764947,-5.176494695,-0.533438445,-0.533253277,0.00017986,2007,0.297608961,0
WISCONSIN HGTS,469,MAZOMANIE EL,40,math,4,27,428.4,27,478.3,465.0738933,13.22610675,1.362760901,1.363328268,0.000913126,2007,0.092234511,0
