"","school","stuid","grade","schid","dist","white","black","hisp","indian","asian","econ","female","ell","disab","sch_fay","dist_fay","luck","ability","measerr","teachq","year","attday","schoolscore","district","schoolhigh","schoolavg","schoollow","readSS","mathSS","proflvl","race"
"44",1,149995,3,495,105,0,1,0,0,0,0,0,0,0,0,0,0,87.8540493076978,11.1332639734731,39.0902471213577,"2000",180,29.2242722609726,3,0,1,0,357.286464546893,387.280282915207,"basic","B"
"53",1,13495,3,495,45,0,1,0,0,0,1,0,0,0,0,0,1,97.7875614875502,6.8223938284885,0.0984819168655733,"2000",180,55.9632592971956,3,0,1,0,263.904581222636,302.572371332695,"below basic","B"
"116",1,106495,3,495,45,0,1,0,0,0,1,0,0,0,0,0,0,104.493033823157,-7.85615858883968,39.5388526976972,"2000",160,55.9632592971956,3,0,1,0,369.672179143784,365.461432571883,"basic","B"
"244",1,45205,3,205,15,0,1,0,0,0,1,0,0,0,0,0,1,111.671512686787,-17.5741522573204,24.1161227728637,"2000",168,55.9632592971956,3,0,1,0,346.595665384202,344.496386434725,"basic","B"
"274",1,142705,3,205,75,0,1,0,0,0,1,0,0,0,0,0,0,81.9253913501755,52.9833376218976,56.6806130368238,"2000",156,55.9632592971956,3,0,1,0,373.125445669888,441.15810279391,"basic","B"
"276",1,14995,3,495,105,0,1,0,0,0,1,0,0,0,0,0,0,101.929039745147,22.6041453490989,71.6219665496305,"2000",157,55.9632592971956,3,0,1,0,436.76073909714,463.403328439215,"proficient","B"
"478",1,120205,3,205,15,0,1,0,0,0,1,0,0,0,0,0,1,87.2725417436386,4.66999670177036,66.8825368445878,"2000",169,55.9632592971956,3,0,1,0,417.919215444654,435.711508182255,"proficient","B"
"574",1,103495,3,495,45,0,1,0,0,0,1,0,0,0,0,0,0,96.6396211986391,-9.3520187198244,75.2072066727325,"2000",180,55.9632592971956,3,0,1,0,454.033834548115,433.985235591732,"proficient","B"
"613",1,55705,3,205,75,0,1,0,0,0,1,0,0,0,0,0,0,98.3944703573539,-7.70415998182862,4.94876465988712,"2000",170,55.9632592971956,3,0,1,0,310.366112230254,283.995920336664,"below basic","B"
"620",1,28495,3,495,45,0,1,0,0,0,0,0,0,0,0,0,0,104.593311366228,-4.9460783674921,59.2378631669995,"2000",152,29.2242722609726,3,0,1,0,359.32178448472,431.927565551539,"basic","B"
"717",1,37705,3,205,75,0,1,0,0,0,1,0,0,0,0,0,0,93.6639726251338,-6.2758574688678,94.0926764748018,"2000",162,55.9632592971956,3,0,1,0,454.280340013022,475.317525378354,"proficient","B"
"772",1,52705,3,205,75,0,1,0,0,0,0,0,0,0,0,0,1,100.139249857789,-33.2952927852495,58.678755865606,"2000",180,29.2242722609726,3,0,1,0,404.656185901966,413.14982154259,"proficient","B"
"1004",1,41995,3,495,105,0,1,0,0,0,1,0,0,0,0,0,0,108.052863873878,4.21463170145686,42.9638426085473,"2000",152,55.9632592971956,3,0,1,0,344.503998107635,388.569675767157,"basic","B"
"1056",1,10705,3,205,75,0,1,0,0,0,1,0,0,0,0,0,0,96.6349330180158,-5.024159179113,17.8653402658164,"2000",165,55.9632592971956,3,0,1,0,309.744656748211,313.116548899406,"below basic","B"
"1169",1,84205,3,205,15,0,1,0,0,0,1,0,0,0,0,0,0,121.632057486877,-24.1663556776122,16.8199626232789,"2000",180,55.9632592971956,3,0,1,0,286.035685952982,316.689151971116,"below basic","B"
"1448",1,5995,3,495,105,0,1,0,0,0,1,0,0,0,0,0,1,97.6543894670312,-55.9192299042245,41.6846331447935,"2000",180,55.9632592971956,3,0,1,0,362.935378018171,330.49070575991,"basic","B"
